table_name,column_name,definition,formula,unit,data_type,source_note,reference_framework
assets,asset_id,Stable unique asset identifier,Not applicable,Text,mixed,Demo value for portfolio prototype; not official disclosed data.,Internal data governance convention
assets,asset_name,Asset or listed operating company display name,Not applicable,Text,mixed,Demo value for portfolio prototype; not official disclosed data.,Internal data governance convention
assets,asset_type,High-level asset category,Not applicable,Text,mixed,Demo value for portfolio prototype; not official disclosed data.,Smart tourism attraction construction or management guidelines
assets,location,Asset location,Not applicable,Text,mixed,Demo value for portfolio prototype; not official disclosed data.,Internal data governance convention
assets,description,Short asset description for portfolio prototype,Not applicable,Text,mixed,Demo value for portfolio prototype; not official disclosed data.,Internal data governance convention
assets,ownership_status,Ownership or operation rights status to be verified during due diligence,Manual classification,Text,mixed,Demo value for portfolio prototype; not official disclosed data.,CSRC public infrastructure REITs guidelines
assets,operation_years,Approximate operating history used for gatekeeper screening,Current year minus start year,Years,simulated,Demo value for portfolio prototype; not official disclosed data.,NDRC infrastructure REITs project application requirements
assets,has_major_legal_dispute,Flag for material legal dispute identified in diligence,Manual legal review flag,Boolean,simulated,Demo value for portfolio prototype; not official disclosed data.,CSRC public infrastructure REITs guidelines
assets,cash_flow_source_type,Description of primary operating cash-flow source,Manual classification,Text,mixed,Demo value for portfolio prototype; not official disclosed data.,NDRC infrastructure REITs project application requirements
financial_metrics,year,Reporting year,Calendar or fiscal year,Integer,simulated,Demo value for portfolio prototype; not official disclosed data.,EPRA Best Practices Recommendations
financial_metrics,revenue,Operating revenue for the asset or portfolio,Sum of operating revenue,Currency units,simulated,Demo value for portfolio prototype; not official disclosed data.,EPRA Best Practices Recommendations
financial_metrics,ebitda,Earnings before interest taxes depreciation and amortization,Revenue minus operating expenses before D and A,Currency units,simulated,Demo value for portfolio prototype; not official disclosed data.,NAREIT FFO/AFFO concept
financial_metrics,noi,Net operating income before financing effects,Operating revenue minus property operating expenses,Currency units,simulated,Demo value for portfolio prototype; not official disclosed data.,INREV Performance Measurement Guidelines
financial_metrics,operating_cash_flow,Operating cash flow generated by asset operations,Cash flow from operations,Currency units,simulated,Demo value for portfolio prototype; not official disclosed data.,CSRC public infrastructure REITs guidelines
financial_metrics,maintenance_capex,Capital expenditure required to maintain operations,Maintenance capital expenditure,Currency units,simulated,Demo value for portfolio prototype; not official disclosed data.,NAREIT FFO/AFFO concept
financial_metrics,estimated_affo,Estimated adjusted funds from operations,Operating cash flow minus maintenance capex,Currency units,simulated,Demo value for portfolio prototype; not official disclosed data.,NAREIT FFO/AFFO concept
financial_metrics,estimated_distribution,Estimated cash distribution supported by operations,Estimated AFFO multiplied by distribution assumption,Currency units,simulated,Demo value for portfolio prototype; not official disclosed data.,CSRC public infrastructure REITs guidelines
financial_metrics,total_assets,Total asset base for leverage context,Reported or estimated total assets,Currency units,simulated,Demo value for portfolio prototype; not official disclosed data.,EPRA Best Practices Recommendations
financial_metrics,total_debt,Total debt for leverage context,Reported or estimated interest-bearing debt,Currency units,simulated,Demo value for portfolio prototype; not official disclosed data.,EPRA Best Practices Recommendations
financial_metrics,debt_ratio,Debt as share of total assets,total_debt / total_assets,Ratio,simulated,Demo value for portfolio prototype; not official disclosed data.,INREV Performance Measurement Guidelines
financial_metrics,capex_to_ocf,Maintenance capex as share of operating cash flow,maintenance_capex / operating_cash_flow,Ratio,simulated,Demo value for portfolio prototype; not official disclosed data.,NAREIT FFO/AFFO concept
operation_metrics,visitor_volume,Annual visitor count for scenic assets,Ticketed or estimated visitors,Visitors,simulated,Demo value for portfolio prototype; not official disclosed data.,UN Tourism accommodation statistics
operation_metrics,occupancy_rate,Occupancy or utilization rate for hotels or capacity-based assets,Occupied units / available units,Ratio,simulated,Demo value for portfolio prototype; not official disclosed data.,UN Tourism accommodation statistics
operation_metrics,adr,Average daily rate for hotel assets,Room revenue / occupied rooms,Currency units,simulated,Demo value for portfolio prototype; not official disclosed data.,UN Tourism accommodation statistics
